state,abreviation
Arkansas,AR
California,CA
Illinois,IL
Kansas,KS
Mississippi,MS
Ohio,OH
Texas,TX
Alabama,AL
Iowa,IA
Louisiana,LA
Minnesota,MN
Missouri,MO
Nebraska,NE
Arizona,AZ
Colorado,CO
Indiana,IN
Michigan,MI
Montana,MT
New York,NY
Oregon,OR
Virginia,VA
Wyoming,WY
North Carolina,NC
Oklahoma,OK
Tennessee,TN
Wisconsin,WI
Vermont,VT
North Dakota,ND
Georgia,GA
Maine,ME
Rhode Island,RI
West Virginia,WV
Idaho,ID
South Dakota,SD
New Mexico,NM
Washington,WA
Pennsylvania,PA
Florida,FL
Utah,UT
Kentucky,KY
New Hampshire,NH
South Carolina,SC
Nevada,NV
New Jersey,NJ
Connecticut,CT
Maryland,MD
Massachusetts,MA
Delaware,DE
District of Columbia,DC
